dataset,model,distribution_noise,label_noise,sample_size,coverage_mean,coverage_std,avg_set_size_mean,accuracy_mean,coverage_gap_mean
adult_income,gradient_boosting,0.0,0.0,100,0.8984338212713686,0.0025099170938727537,1.2404749718497288,0.7961715631077899,-0.0015661787286314066
adult_income,gradient_boosting,0.0,0.0,500,0.9033882690142286,0.0015276012283308785,1.145562493602211,0.8404340260006142,0.003388269014228662
adult_income,gradient_boosting,0.0,0.0,1000,0.9003787491043095,0.004424473255408761,1.1099805507216707,0.8530658204524517,0.00037874910430952814
adult_income,gradient_boosting,0.0,0.0,full,0.9023032040126931,0.004084298970809412,1.0792097451120892,0.8651039000921281,0.0023032040126931496
adult_income,gradient_boosting,0.0,0.1,full,0.9029378646739687,0.005482674424404685,1.0858839185177602,0.8623605282014536,0.0029378646739686596
adult_income,gradient_boosting,0.0,0.2,full,0.9019346913706624,0.005494892523862369,1.0902446514484594,0.8605793837649708,0.0019346913706622892
adult_income,gradient_boosting,0.0,0.3,full,0.9011976660866005,0.004426249130112819,1.0990070631589721,0.8568533114955471,0.0011976660866004573
adult_income,gradient_boosting,0.1,0.0,full,0.8962022724946259,0.003438750544014935,1.0831814924762002,0.858122632818098,-0.0037977275053741487
adult_income,gradient_boosting,0.2,0.0,full,0.8898966117309858,0.003741983555333673,1.0856587163476301,0.8512846760159689,-0.010103388269014269
adult_income,gradient_boosting,0.5,0.0,full,0.8136349677551438,0.005844921360370463,1.0924966731497594,0.7701504759954959,-0.08636503224485621
adult_income,gradient_boosting,1.0,0.0,full,0.6676220698126728,0.01886788548096135,1.1011362473129287,0.6183846862524311,-0.23237793018732728
adult_income,logistic_regression,0.0,0.0,100,0.901832326747876,0.0036009947997416047,1.218446105026103,0.8068584297266865,0.001832326747875923
adult_income,logistic_regression,0.0,0.0,500,0.9013205036339441,0.0029339565253283695,1.1460538437915857,0.8382229501484286,0.0013205036339440702
adult_income,logistic_regression,0.0,0.0,1000,0.9031835397686561,0.0027193176974980647,1.1298188146176682,0.8456136759136041,0.0031835397686559297
adult_income,logistic_regression,0.0,0.0,full,0.9030197563721978,0.0032212459256870394,1.1153649298802333,0.8507114341283653,0.003019756372197757
adult_income,logistic_regression,0.0,0.1,full,0.9035520524106868,0.003528536907707641,1.1244753813082198,0.8486436687480806,0.0035520524106868344
adult_income,logistic_regression,0.0,0.2,full,0.9019756372197769,0.0030362803518798743,1.1365748797215682,0.8424813184563416,0.0019756372197768045
adult_income,logistic_regression,0.0,0.3,full,0.9020780018425633,0.0033931981048586283,1.151561060497492,0.8381820042993141,0.002078001842563193
adult_income,logistic_regression,0.1,0.0,full,0.8938274132459822,0.0027708498104150854,1.1168185075237997,0.8417852390213942,-0.006172586754017839
adult_income,logistic_regression,0.2,0.0,full,0.8711229399119663,0.003745062571384305,1.1098372402497696,0.8206981267274032,-0.028877060088033635
adult_income,logistic_regression,0.5,0.0,full,0.7849933462995189,0.003533136865258651,1.0879721568226022,0.7432899989763537,-0.11500665370048113
adult_income,logistic_regression,1.0,0.0,full,0.6803562288872966,0.0011526820153759541,1.0578360118742962,0.6520626471491452,-0.21964377111270345
adult_income,random_forest,0.0,0.0,100,0.899662196744805,0.0024119850916201504,1.201637833964582,0.8161121916265739,-0.00033780325519503494
adult_income,random_forest,0.0,0.0,500,0.9011567202374859,0.002294201077912144,1.1477121506807246,0.8350291739174942,0.001156720237485942
adult_income,random_forest,0.0,0.0,1000,0.9030197563721977,0.004553557670352703,1.129286518579179,0.8464325928958951,0.003019756372197757
adult_income,random_forest,0.0,0.0,full,0.9032244856177705,0.0022018763950956014,1.0841027740812774,0.8651653188658001,0.003224485617770467
adult_income,random_forest,0.0,0.1,full,0.9020780018425633,0.0027175831313003057,1.0856996621967447,0.8636912682976764,0.002078001842563193
adult_income,random_forest,0.0,0.2,full,0.9019346913706624,0.0038315011305584783,1.096673149759443,0.8594124270652064,0.0019346913706622892
adult_income,random_forest,0.0,0.3,full,0.9026512437301669,0.005118742936843593,1.131088135940219,0.8486231958235233,0.00265124373016683
adult_income,random_forest,0.1,0.0,full,0.8994165216501177,0.001947081685021722,1.0852492578564847,0.8611935715016891,-0.0005834783498823049
